,id,title,type,age_certification,runtime,release_year,seasons,imdb_score,imdb_votes
10049,ts23774,Tears to Tiara,SHOW,TV-14,24,2009,1.0,6.4,186.0
10090,tm82995,Woman Thou Art Loosed,MOVIE,R,94,2004,0.0,6.6,952.0
10121,ts761,Elena's Ghost,SHOW,,44,2010,1.0,7.1,124.0
10131,tm29436,All Inclusive,MOVIE,,92,2008,0.0,5.8,352.0
10148,tm68563,Feel The Noise,MOVIE,PG-13,86,2007,0.0,2.9,4752.0
10154,tm54959,China: The Panda Adventure,MOVIE,G,48,2001,0.0,5.8,213.0
10167,tm75153,The Secret of the Nutcracker,MOVIE,G,87,2007,0.0,5.0,163.0
10184,tm171801,Moneyball,MOVIE,PG-13,134,2011,0.0,7.6,409674.0
10226,tm170442,Margin Call,MOVIE,R,107,2011,0.0,7.1,125883.0
10264,tm50018,Looper,MOVIE,R,119,2012,0.0,7.4,566791.0
10315,ts32835,Hunter x Hunter,SHOW,TV-14,23,2011,3.0,9.0,87857.0
10538,tm29578,Rock of Ages,MOVIE,R,123,2012,0.0,5.9,77047.0
10602,tm156908,The Adjustment Bureau,MOVIE,PG-13,106,2011,0.0,7.0,254535.0
10646,tm32701,Compliance,MOVIE,R,90,2012,0.0,6.4,33977.0
10702,tm37153,Killing Them Softly,MOVIE,R,104,2012,0.0,6.2,141289.0
10736,tm167897,Hanna,MOVIE,PG-13,111,2011,0.0,6.8,197577.0
10792,tm176113,Rio,MOVIE,G,96,2011,0.0,6.9,222983.0
10817,tm31116,The Act of Killing,MOVIE,,159,2012,0.0,8.2,37673.0
10872,tm170071,The Big Year,MOVIE,PG,100,2011,0.0,6.2,44753.0
10922,tm173571,Another Earth,MOVIE,PG-13,92,2011,0.0,6.9,95011.0
10944,ts28010,High School DxD,SHOW,TV-MA,25,2012,4.0,7.6,9505.0
11001,tm172381,Battle: Los Angeles,MOVIE,PG-13,116,2011,0.0,5.7,179314.0
11020,tm57991,The Vow,MOVIE,PG-13,104,2012,0.0,6.8,192337.0
11065,tm172667,Fright Night,MOVIE,R,106,2011,0.0,6.4,104968.0
11104,tm70659,That's My Boy,MOVIE,R,116,2012,0.0,5.5,98790.0
11152,tm48817,The Five-Year Engagement,MOVIE,R,124,2012,0.0,6.2,98290.0
11210,tm167853,Water for Elephants,MOVIE,PG-13,122,2011,0.0,6.9,115642.0
11231,ts22232,The Future Diary,SHOW,TV-MA,25,2011,1.0,7.6,16767.0
