,id,Netflix,Hulu,HBO,title,type,age_certification,runtime,name,role,release_year,seasons,imdb_score,imdb_votes
2489,ts223759,1.0,0.0,0.0,Killer Inside: The Mind of Aaron Hernandez,SHOW,TV-MA,67,Geno McDermott,DIRECTOR,2020,1.0,7.4,16934.0
2497,ts89958,1.0,0.0,0.0,Arthdal Chronicles,SHOW,,80,Kim Won-seok,DIRECTOR,2019,3.0,8.3,4351.0
2500,ts225787,1.0,0.0,0.0,Unabomber: In His Own Words,SHOW,TV-MA,44,Mick Grogan,DIRECTOR,2020,1.0,7.2,3446.0
2515,ts237513,1.0,0.0,0.0,Ju-On: Origins,SHOW,TV-MA,29,Shô Miyake,DIRECTOR,2020,1.0,6.1,4546.0
2519,ts235862,1.0,0.0,0.0,My Unfamiliar Family,SHOW,TV-14,73,Kwon Young-il,DIRECTOR,2020,1.0,7.8,109.0
2521,ts236501,1.0,0.0,0.0,Valeria,SHOW,TV-MA,41,Nely Reguera,DIRECTOR,2020,2.0,6.5,5701.0
2522,ts236501,1.0,0.0,0.0,Valeria,SHOW,TV-MA,41,Inma Torrente,DIRECTOR,2020,2.0,6.5,5701.0
2526,ts106126,1.0,0.0,0.0,The Bonfire of Destiny,SHOW,TV-MA,50,Alexandre Laurent,DIRECTOR,2019,1.0,7.6,4560.0
2530,ts225430,1.0,0.0,0.0,Mystic Pop-up Bar,SHOW,,70,Jeon Chang-geun,DIRECTOR,2020,1.0,8.0,2073.0
2532,ts88352,1.0,0.0,0.0,Designated Survivor: 60 Days,SHOW,,74,Yoo Jong-sun,DIRECTOR,2019,1.0,8.1,1274.0
2541,ts225716,1.0,0.0,0.0,Family Business,SHOW,TV-MA,33,Igor Gotesman,DIRECTOR,2019,3.0,7.4,4051.0
2545,ts189629,1.0,0.0,0.0,"Nisman. The Prosecutor, the President and the Spy",SHOW,,62,Justin Webster,DIRECTOR,2019,1.0,7.6,581.0
2550,ts223126,1.0,0.0,0.0,The Confession Killer,SHOW,TV-14,48,Robert Kenner,DIRECTOR,2019,1.0,7.4,8984.0
2551,ts223126,1.0,0.0,0.0,The Confession Killer,SHOW,TV-14,48,Taki Oldham,DIRECTOR,2019,1.0,7.4,8984.0
2555,ts236725,1.0,0.0,0.0,Lenox Hill,SHOW,TV-MA,48,Adi Barash,DIRECTOR,2020,1.0,8.6,2311.0
2556,ts236725,1.0,0.0,0.0,Lenox Hill,SHOW,TV-MA,48,Ruthie Shatz,DIRECTOR,2020,1.0,8.6,2311.0
2569,ts238242,1.0,0.0,0.0,The Great Heist,SHOW,TV-MA,42,Pablo González,DIRECTOR,2020,1.0,7.3,2561.0
2570,ts238242,1.0,0.0,0.0,The Great Heist,SHOW,TV-MA,42,Camilo Salazar Prince,DIRECTOR,2020,1.0,7.3,2561.0
2577,ts236051,1.0,0.0,0.0,The Least Expected Day: Inside the Movistar Team 2019,SHOW,TV-MA,30,José Larraza,DIRECTOR,2020,3.0,7.4,765.0
2578,ts236051,1.0,0.0,0.0,The Least Expected Day: Inside the Movistar Team 2019,SHOW,TV-MA,30,Marc Pons,DIRECTOR,2020,3.0,7.4,765.0
2582,ts223238,1.0,0.0,0.0,My Holo Love,SHOW,TV-14,53,Lee Sang-yeob,DIRECTOR,2020,1.0,7.6,2511.0
2583,ts88296,1.0,0.0,0.0,Ares,SHOW,TV-MA,29,Giancarlo Sanchez,DIRECTOR,2020,1.0,5.7,4389.0
2584,ts88296,1.0,0.0,0.0,Ares,SHOW,TV-MA,29,Michiel ten Horn,DIRECTOR,2020,1.0,5.7,4389.0
2585,ts86744,1.0,0.0,0.0,Romance Is a Bonus Book,SHOW,,63,Lee Jung-hyo,DIRECTOR,2019,1.0,8.0,5278.0
2595,ts92547,1.0,0.0,0.0,Rise of Empires: Ottoman,SHOW,,45,Emre Sahin,DIRECTOR,2020,2.0,7.9,22274.0
2599,ts226602,1.0,0.0,0.0,How to Fix a Drug Scandal,SHOW,TV-MA,53,Erin Lee Carr,DIRECTOR,2020,1.0,7.0,3298.0
2600,ts86365,1.0,0.0,0.0,Rilakkuma and Kaoru,SHOW,TV-PG,12,Masahito Kobayashi,DIRECTOR,2019,1.0,8.2,1616.0
2602,ts91124,1.0,0.0,0.0,Love Alarm,SHOW,TV-MA,52,Kim Jin-woo,DIRECTOR,2019,2.0,6.8,5534.0
2608,ts222933,1.0,0.0,0.0,Who Killed Little Gregory?,SHOW,,60,Gilles Marchand,DIRECTOR,2019,1.0,7.4,2952.0
2609,ts89876,1.0,0.0,0.0,Lunatics,SHOW,TV-MA,36,Chris Lilley,DIRECTOR,2019,1.0,6.5,3179.0
2610,ts223659,1.0,0.0,0.0,Jamtara – Sabka Number Ayega,SHOW,,27,Soumendra Padhi,DIRECTOR,2020,1.0,7.2,6319.0
2611,ts219422,1.0,0.0,0.0,When the Camellia Blooms,SHOW,,55,Cha Young-hoon,DIRECTOR,2019,1.0,7.9,2459.0
2613,ts225102,1.0,0.0,0.0,Record of Youth,SHOW,TV-14,73,Ahn Gil-ho,DIRECTOR,2020,1.0,7.2,2381.0
2616,ts224072,1.0,0.0,0.0,Self Made: Inspired by the Life of Madam C.J. Walker,SHOW,TV-MA,47,Kasi Lemmons,DIRECTOR,2020,1.0,7.3,11711.0
2617,ts224072,1.0,0.0,0.0,Self Made: Inspired by the Life of Madam C.J. Walker,SHOW,TV-MA,47,DeMane Davis,DIRECTOR,2020,1.0,7.3,11711.0
2631,ts87372,1.0,0.0,0.0,Ultramarine Magmell,SHOW,TV-14,24,Hayato Date,DIRECTOR,2019,1.0,6.0,627.0
2636,ts223456,1.0,0.0,0.0,Pandemic: How to Prevent an Outbreak,SHOW,TV-14,48,Doug Shultz,DIRECTOR,2020,1.0,6.3,2762.0
2644,ts106015,1.0,0.0,0.0,Kengan Ashura,SHOW,TV-MA,25,Seiji Kishi,DIRECTOR,2019,2.0,8.0,4869.0
2655,ts90063,1.0,0.0,0.0,Put Your Head on My Shoulder,SHOW,TV-Y7,41,주둥닝,DIRECTOR,2019,1.0,8.0,2191.0
2660,ts216474,1.0,0.0,0.0,The Trial,SHOW,TV-MA,50,Stefano Lodovichi,DIRECTOR,2019,1.0,7.2,3151.0
2661,ts86927,1.0,0.0,0.0,Touch Your Heart,SHOW,TV-MA,63,Park Joon-hwa,DIRECTOR,2019,1.0,7.6,3252.0
2666,ts217356,1.0,0.0,0.0,Betaal,SHOW,TV-MA,47,Patrick Graham,DIRECTOR,2020,1.0,5.4,8998.0
2667,ts217356,1.0,0.0,0.0,Betaal,SHOW,TV-MA,47,Nikhil Mahajan,DIRECTOR,2020,1.0,5.4,8998.0
2668,ts213544,1.0,0.0,0.0,Rookie Historian Goo Hae-Ryung,SHOW,,43,Han Hyun-hee,DIRECTOR,2019,1.0,8.1,2060.0
2669,ts213544,1.0,0.0,0.0,Rookie Historian Goo Hae-Ryung,SHOW,,43,Kang Il-soo,DIRECTOR,2019,1.0,8.1,2060.0
2674,ts223895,1.0,0.0,0.0,"Hi Bye, Mama!",SHOW,,63,Yoo Je-won,DIRECTOR,2020,2.0,7.9,1639.0
2676,ts269501,1.0,0.0,0.0,BREAK IT ALL: The History of Rock in Latin America,SHOW,TV-MA,50,Picky Talarico,DIRECTOR,2020,1.0,7.6,1230.0
2683,ts89048,1.0,0.0,0.0,My First First Love,SHOW,TV-PG,48,Oh Jin-seok,DIRECTOR,2019,2.0,7.5,2246.0
2684,ts89832,1.0,0.0,0.0,Abyss,SHOW,TV-14,63,Yoo Je-won,DIRECTOR,2019,1.0,7.1,2324.0
2685,ts216493,1.0,0.0,0.0,The Naked Director,SHOW,TV-MA,50,Masaharu Take,DIRECTOR,2019,2.0,7.7,6147.0
2691,ts88841,1.0,0.0,0.0,The School Nurse Files,SHOW,TV-14,51,Lee Kyoung-mi,DIRECTOR,2020,1.0,6.4,1195.0
2699,ts251560,1.0,0.0,0.0,Do Do Sol Sol La La Sol,SHOW,,60,Kim Min-gyeong,DIRECTOR,2020,1.0,7.3,1539.0
2701,ts223242,1.0,0.0,0.0,Was It Love?,SHOW,TV-MA,69,Kim Do-hyung,DIRECTOR,2020,1.0,7.1,907.0
2711,ts268890,1.0,0.0,0.0,Lovestruck in the City,SHOW,TV-14,30,Park Shin-woo,DIRECTOR,2020,1.0,7.6,2372.0
2712,ts114080,1.0,0.0,0.0,Twice Upon a Time,SHOW,,48,Guillaume Nicloux,DIRECTOR,2019,1.0,6.2,1020.0
2713,ts89291,1.0,0.0,0.0,Mythomaniac,SHOW,TV-MA,46,Fabrice Gobert,DIRECTOR,2019,2.0,6.8,1303.0
2716,ts90902,1.0,0.0,0.0,Search: WWW,SHOW,,63,Kwon Young-il,DIRECTOR,2019,1.0,7.8,1405.0
2717,ts90902,1.0,0.0,0.0,Search: WWW,SHOW,,63,Jung Jee-hyun,DIRECTOR,2019,1.0,7.8,1405.0
2719,ts218176,1.0,0.0,0.0,The Big Show Show,SHOW,TV-PG,26,Jody Margolin Hahn,DIRECTOR,2020,1.0,6.3,2426.0
2720,ts252166,1.0,0.0,0.0,Private Lives,SHOW,,67,Nam Geon,DIRECTOR,2020,1.0,6.6,620.0
2723,ts255809,1.0,0.0,0.0,Carmel: Who Killed Maria Marta?,SHOW,TV-14,58,Alejandro Hartmann,DIRECTOR,2020,1.0,7.0,2463.0
2724,ts88271,1.0,0.0,0.0,Flavorful Origins,SHOW,,12,Zhitang Hu,DIRECTOR,2019,4.0,7.6,603.0
2730,ts185885,1.0,0.0,0.0,Oktoberfest: Beer & Blood,SHOW,TV-MA,48,Hannu Salonen,DIRECTOR,2020,1.0,6.8,2177.0
2746,ts89656,1.0,0.0,0.0,The Legend of White Snake,SHOW,TV-14,46,지뢰,DIRECTOR,2019,1.0,7.3,237.0
2748,ts217389,1.0,0.0,0.0,Masaba Masaba,SHOW,TV-MA,28,Sonam Nair,DIRECTOR,2020,2.0,6.7,1760.0
2754,ts222049,1.0,0.0,0.0,Who Killed Malcolm X?,SHOW,TV-MA,43,Phil Bertelsen,DIRECTOR,2019,1.0,7.6,2152.0
2755,ts222049,1.0,0.0,0.0,Who Killed Malcolm X?,SHOW,TV-MA,43,Rachel Dretzin,DIRECTOR,2019,1.0,7.6,2152.0
2760,ts237071,1.0,0.0,0.0,The Forest of Love: Deep Cut,SHOW,TV-MA,40,Sion Sono,DIRECTOR,2020,1.0,6.8,453.0
2768,ts191121,1.0,0.0,0.0,Reality Z,SHOW,TV-MA,31,Cláudio Torres,DIRECTOR,2020,1.0,5.6,2487.0
2777,ts222606,1.0,0.0,0.0,Black Dog,SHOW,TV-14,80,Hwang Joon-Hyuk,DIRECTOR,2019,1.0,7.6,176.0
2784,ts104485,1.0,0.0,0.0,The Stranded,SHOW,TV-MA,49,Sophon Sakdaphisit,DIRECTOR,2019,1.0,6.2,1279.0
2789,ts88133,1.0,0.0,0.0,Well-Intended Love,SHOW,TV-14,45,Wu Qiang,DIRECTOR,2019,2.0,7.2,1466.0
2791,ts268758,1.0,0.0,0.0,Mismatched,SHOW,TV-MA,33,Akarsh Khurana,DIRECTOR,2020,1.0,5.5,3712.0
2804,ts215869,1.0,0.0,0.0,Extreme Engagement,SHOW,,38,Tim Noonan,DIRECTOR,2019,1.0,5.6,384.0
2807,ts100354,1.0,0.0,0.0,Monzón: A Knockout Blow,SHOW,TV-MA,45,Jesús Braceras,DIRECTOR,2019,1.0,7.9,744.0
2808,ts100354,1.0,0.0,0.0,Monzón: A Knockout Blow,SHOW,TV-MA,45,Gabriel Nicoli,DIRECTOR,2019,1.0,7.9,744.0
2814,ts86928,1.0,0.0,0.0,The Crowned Clown,SHOW,TV-14,75,Kim Hee-won,DIRECTOR,2019,1.0,8.0,938.0
2819,ts87698,1.0,0.0,0.0,Examination of Conscience,SHOW,TV-MA,52,Albert Solé,DIRECTOR,2019,1.0,7.8,427.0
2824,ts91034,1.0,0.0,0.0,Leila,SHOW,TV-MA,46,Shanker Raman,DIRECTOR,2019,1.0,4.9,8906.0
2825,ts91034,1.0,0.0,0.0,Leila,SHOW,TV-MA,46,Deepa Mehta,DIRECTOR,2019,1.0,4.9,8906.0
2826,ts91034,1.0,0.0,0.0,Leila,SHOW,TV-MA,46,Pawan Kumar,DIRECTOR,2019,1.0,4.9,8906.0
2829,ts217045,1.0,0.0,0.0,Levius,SHOW,,25,Keisuke Ide,DIRECTOR,2019,1.0,6.9,539.0
2830,ts235979,1.0,0.0,0.0,The Victims' Game,SHOW,TV-MA,59,David Chuang,DIRECTOR,2020,1.0,7.3,1408.0
2831,ts235979,1.0,0.0,0.0,The Victims' Game,SHOW,TV-MA,59,Chen Kuan-chung,DIRECTOR,2020,1.0,7.3,1408.0
2832,ts88169,1.0,0.0,0.0,Possessed,SHOW,,64,Choi Do-hoon,DIRECTOR,2019,1.0,6.7,784.0
2833,ts256297,1.0,0.0,0.0,The Devil Punisher,SHOW,,70,Chin Jung Chang,DIRECTOR,2020,1.0,5.8,161.0
2844,ts254817,1.0,0.0,0.0,A Perfect Crime,SHOW,,43,Jan Peter,DIRECTOR,2020,1.0,7.3,1394.0
2845,ts254817,1.0,0.0,0.0,A Perfect Crime,SHOW,,43,Georg Tschurtschenthaler,DIRECTOR,2020,1.0,7.3,1394.0
2864,ts90466,1.0,0.0,0.0,Hong Kong West Side Stories,SHOW,TV-MA,23,Nero Ng,DIRECTOR,2019,2.0,5.7,6.0
2881,ts222625,1.0,0.0,0.0,A Little Thing Called First Love,SHOW,,45,Qi Xiaohui,DIRECTOR,2019,1.0,7.9,387.0
