,id,Netflix,Hulu,HBO,title,type,age_certification,runtime,name,role,release_year,seasons,imdb_score,imdb_votes
6723,tm116656,0.0,0.0,1.0,Love and a .45,MOVIE,R,101,C.M. Talkington,DIRECTOR,1994,0.0,5.9,4544.0
6724,tm9832,0.0,0.0,1.0,Cast a Deadly Spell,MOVIE,R,96,Martin Campbell,DIRECTOR,1991,0.0,6.4,3726.0
6725,tm109283,0.0,0.0,1.0,Mary Reilly,MOVIE,R,104,Stephen Frears,DIRECTOR,1996,0.0,5.8,14910.0
6726,tm106238,0.0,0.0,1.0,Schizopolis,MOVIE,,99,Steven Soderbergh,DIRECTOR,1997,0.0,6.7,5665.0
6727,tm107754,0.0,0.0,1.0,Lawnmower Man 2: Beyond Cyberspace,MOVIE,PG-13,92,Farhad Mann,DIRECTOR,1996,0.0,2.5,9580.0
6728,tm216,0.0,0.0,1.0,A Brief History of Time,MOVIE,G,80,Errol Morris,DIRECTOR,1991,0.0,7.3,5591.0
6729,tm10254,0.0,0.0,1.0,Switch,MOVIE,R,104,Blake Edwards,DIRECTOR,1991,0.0,5.8,9577.0
6730,tm17650,0.0,0.0,1.0,Lucky Numbers,MOVIE,R,105,Nora Ephron,DIRECTOR,2000,0.0,5.0,10445.0
6731,tm46012,0.0,0.0,1.0,The Out-of-Towners,MOVIE,PG-13,92,Sam Weisman,DIRECTOR,1999,0.0,5.5,13868.0
6732,tm46657,0.0,0.0,1.0,Home Fries,MOVIE,PG-13,93,Dean Parisot,DIRECTOR,1998,0.0,5.0,8505.0
6733,tm49065,0.0,0.0,1.0,RKO 281,MOVIE,R,84,Benjamin Ross,DIRECTOR,2000,0.0,7.0,6183.0
6734,tm118846,0.0,0.0,1.0,Jason's Lyric,MOVIE,R,119,Doug McHenry,DIRECTOR,1994,0.0,6.6,4140.0
6735,tm16303,0.0,0.0,1.0,The Tuskegee Airmen,MOVIE,PG-13,106,Robert Markowitz,DIRECTOR,1995,0.0,7.1,6332.0
6736,tm7047,0.0,0.0,1.0,House Party 2,MOVIE,R,94,Doug McHenry,DIRECTOR,1991,0.0,5.2,6561.0
6737,tm7047,0.0,0.0,1.0,House Party 2,MOVIE,R,94,George Jackson,DIRECTOR,1991,0.0,5.2,6561.0
6738,tm9298,0.0,0.0,1.0,Dying Young,MOVIE,R,111,Joel Schumacher,DIRECTOR,1991,0.0,6.0,16197.0
6739,tm117862,0.0,0.0,1.0,House Party 3,MOVIE,R,100,Eric Meza,DIRECTOR,1994,0.0,4.6,5269.0
6740,tm2836,0.0,0.0,1.0,4 Little Girls,MOVIE,,102,Spike Lee,DIRECTOR,1997,0.0,7.8,3278.0
6741,tm62394,0.0,0.0,1.0,My Neighbors the Yamadas,MOVIE,PG,104,Isao Takahata,DIRECTOR,1999,0.0,7.1,13901.0
6742,tm191749,0.0,0.0,1.0,Free Willy 3: The Rescue,MOVIE,PG,86,Sam Pillsbury,DIRECTOR,1997,0.0,4.7,10109.0
6743,tm364364,0.0,0.0,1.0,Life of Crime 2,MOVIE,,119,Jon Alpert,DIRECTOR,1998,0.0,8.3,161.0
6744,tm11249,0.0,0.0,1.0,Company Business,MOVIE,PG-13,94,Nicholas Meyer,DIRECTOR,1991,0.0,5.6,2887.0
6745,tm114578,0.0,0.0,1.0,Against the Wall,MOVIE,,111,John Frankenheimer,DIRECTOR,1994,0.0,6.6,2904.0
6746,tm256444,0.0,0.0,1.0,Lock Up: The Prisoners of Rikers Island,MOVIE,,75,Jon Alpert,DIRECTOR,1994,0.0,7.7,164.0
6747,tm256444,0.0,0.0,1.0,Lock Up: The Prisoners of Rikers Island,MOVIE,,75,Nina Rosenblum,DIRECTOR,1994,0.0,7.7,164.0
6748,tm110254,0.0,0.0,1.0,All Dogs Go to Heaven 2,MOVIE,G,82,Larry Leker,DIRECTOR,1996,0.0,5.4,6029.0
6749,tm110254,0.0,0.0,1.0,All Dogs Go to Heaven 2,MOVIE,G,82,Paul Sabella,DIRECTOR,1996,0.0,5.4,6029.0
6750,tm48877,0.0,0.0,1.0,Introducing Dorothy Dandridge,MOVIE,PG-13,110,Martha Coolidge,DIRECTOR,1999,0.0,7.1,3627.0
6751,tm9427,0.0,0.0,1.0,The Stranger,MOVIE,,114,Satyajit Ray,DIRECTOR,1991,0.0,8.0,3872.0
6752,tm46286,0.0,0.0,1.0,Vendetta,MOVIE,R,117,Nicholas Meyer,DIRECTOR,1999,0.0,6.1,1162.0
6753,tm10732,0.0,0.0,1.0,Tyson,MOVIE,,110,Uli Edel,DIRECTOR,1995,0.0,6.2,2190.0
6754,tm452231,0.0,0.0,1.0,Fists of Freedom: The Story of the '68 Summer Games,MOVIE,,59,George Roy,DIRECTOR,1999,0.0,7.4,89.0
